_id,answer,choices,question
638ae5e300f07e34fd49d95a,Promoting contraceptives for planned parenthood,"[""Literacy assistance for out-of-school children/youths"",""Household campaign for healthful practice"",""Introducing cooperative thrift practices""]","Among the active participation of school officials and teachers in the community, which is not appropriate due to prevailing religious sentiments?"
638ae6bf00f07e34fd49d95b,existentialist,"[""utilitarianist"",""essentialist"",""constructivist""]",What educational philosophy should a teacher emphasize if he wants his students to develop self-responsibility and accountability?
638ae76100f07e34fd49d95c,standard and competencies,"[""performance test results"",""subject content results"",""achievement test results""]","If higher education is concerned with outcomes, DepEd is concerned with:"
638ae7be00f07e34fd49d95d,assessment portfolio,"[""development portfolio"",""showcase portfolio"",""evaluation portfolio""]",I have to check if my students were able to produce the expected output against outcomes. Which type of portfolio am I interested to see?
638ae83100f07e34fd49d95e,achievement test,"[""remedial test"",""intelligence test"",""aptitude test""]",Which standardized test is used to measure performance in completed subjects at various grade levels?
638aea5f00f07e34fd49d960,insight,"[""knowledge"",""values"",""skills""]",What enables the learner to fully contribute to a peaceful and just society based on the “Learning to do” pillar?
638aea9700f07e34fd49d961,existentialism,"[""rationalism"",""empiricism"",""progressivism""]",Your students are more interested in a topic that is part of your lesson so you drop your original lesson in favor of what they like. Which philosophy governs your decision?
638aeaca00f07e34fd49d962,love his fellowmen,"[""attain an altruistic mind"",""find peace within oneself"",""become self-actualized""]",A learner must first attain this for him/herself before being able to fully “learn to live and work together”.
638aeb0c00f07e34fd49d963,ethical character,"[""self-actualization"",""enculturation"",""autonomy""]","The development of sound judgment, commitment to truth, and the strengthening of the moral fabric of society all belong to this major goal of Philippine education."
638aeb4d00f07e34fd49d964,principle of formal cooperation,"[""principle of double effect"",""principle of material cooperation"",""principle of lesser evil""]","A powerful European country supplied weapons to Afghanistan rebels who were fighting a war in the Middle East. Based on the principle of moral discernment, what is the most applicable based on this scenario?"
638aeb9200f07e34fd49d965,to listen and observe,"[""to ask and gather data"",""to process and select information"",""to read with understanding""]",“Learning to learn” is best seen in this/these skill/s.
638aebe000f07e34fd49d966,pluralism and diversity,"[""interdependence"",""accentuated risk"",""contemporaries""]","If people live together in peace and harmony by understanding one’s traditions and values, what word will describe the situation?"
638aec1f00f07e34fd49d967,Brigada-Eskwela,"[""Education Service Contracting"",""Mother Tongue-Based Multilingual Education Program"",""E- Impact""]"," Of all these programs, this is one in which any member in the community can help?"
638aec6400f07e34fd49d968,the primacy of experience,"[""the need for theory"",""the need for experience"",""the primacy of theory""]",“An ounce of experience is better than a ton of theory” was one of John Dewey’s main contentions. This statement underscores the…
638aeca300f07e34fd49d969,reflects on moral choices,"[""encourages others to share their ideas"",""develops self-esteem"",""takes into account the opinions of others""]","Several components make up a morally mature person. Which shows that a teacher applies more principles (e.g., the Golden Rule) when making moral judgments?"
638aece100f07e34fd49d96a,resignation to mediocrity,"[""arduous preparation"",""committed work"",""striving to be the best""]",What best describes the “pwede na” mentality vs excellence in service/work?
638aed2500f07e34fd49d96b,progressivism,"[""behaviorism"",""essentialism"",""existentialism""]",What school of thought is behind the student-centered approach in teaching which emphasizes discovery learning among students?
638aed6500f07e34fd49d96c,Align learning in the context of reality,"[""no mobile phones in school"",""limits the use of Facebook and texting"",""PTA conference with parents""]",What is the appropriate response for millennials who are more exposed to virtual reality (digital toys and tools) instead of actual reality?
638aedb000f07e34fd49d96d,integrate social media competencies in the curriculum,"[""students monitoring of peers"",""punishment for violators"",""seminar on social media""]","With the influx of technology in the 21 first century, how can students be best re-educated on the ethical use of social media, such as Facebook and mobile texting?"
638aedea00f07e34fd49d96e,Identifying the purpose,"[""Planning phase"",""Evaluating the experience"",""Organizing the experiences""]",What is considered the best feature of Tyler’s Rationale?
638aee2000f07e34fd49d96f,"congruence between objectives
","[""varied outcome evidence"",""continuing monitoring and evaluation"",""high achievement test marks and output""]","In an outcome-based approach to instructions, how can competencies be best demonstrated?"
638aee5900f07e34fd49d970,writer,"[""evaluator"",""implementer"",""planner""]","Teacher Lea is an excellent recordist of knowledge, concepts, subject matter, and content of the curriculum. As a curricularist, she is a _____."
638aef9800f07e34fd49d971,progressively teach Math concepts from Grade 1 and continued to Grade 10,"[""teach Algebra, Geometry, and Trigonometry only to higher grades"",""teach Algebra, Geometry, and Trigonometry in Grades 7, 8, and 10 respectively"",""Give autonomy to schools in choice of Math subjects""]","Under the K to 12 Curriculum, what covers the spiral approach in the teaching of Mathematics?"
638aefcd00f07e34fd49d972,"III, II, IV, I, and V
","[""III, IV, II, I, and V"",""IV, I, II, III, and V"",""II, I, III, IV, and V""]","Arrange the steps in strategic instructional planning in chronological order:

I. check materials
II. decide expected outcomes
III. establish content
IV. outline presentation lesson
V. implement instruction"
638af00e00f07e34fd49d973,presentation,"[""summative exam"",""project"",""buzz exam""]"," Teacher Maria made a list of learning activities for her lesson plan, but she did not include _____ because this is a common activity in daily lessons."
638af04300f07e34fd49d974,conformance with authority,"[""openness to new ideas"",""set standards and rules"",""fixed point of view""]",What mistake is committed by a teacher who lacks clear direction and sequences of activities by going from one activity to another?
638af0a000f07e34fd49d975,ample review and explanation,"[""asking a question and checking for understanding"",""proceed in quick and double steps"",""provide systematic feedback and correction""]",Which among the activities below is NOT an element for effective direct instruction?
638af0dc00f07e34fd49d976,Quantitative value,"[""Data flow"",""Frequency distribution"",""Symbolize figure""]",This is the primary goal in displaying statistical data through graphs of differing heights in a Histogram.
638af11500f07e34fd49d977,Project method,"[""Computer-assisted instruction"",""Mastery learning"",""Process flow""]",Which among the applications below is rooted in B.F. Skinner’s Theory of Operant Conditioning?
638af14400f07e34fd49d978,Technical-vocational,"[""Social Studies"",""General education"",""Values education""]","What learning area utilizes the demonstration method as its most suitable, effective, and useful vehicle for learning?"
638af17300f07e34fd49d979,Feature content,"[""News content"",""Editorial content"",""Entertainment content""]","Among newspaper contents, what can Teacher D utilize to teach critical reading skills to his Grade 6 students?"
638af1a200f07e34fd49d97a,Explain the plant’s response to sunlight,"[""Show different kinds of plants and their response to sunlight"",""State the cause and effect of the plant’s exposure to sunlight"",""Explain the chemical reaction of the plant to sunlight""]","In her science class, how can Teacher May show the plant’s response to sunlight in an inductive manner?"
638af1d100f07e34fd49d97b,makes students find apps on the internet and share them with classmates.,"[""makes students watch videos downloaded from YouTube and ask them to summarize the video."",""evaluates Math apps on multiplication, matches them with their learner’s skill level demonstrates the use of apps, allows students to explore, and asks students to summarize the lesson."",""checks math standards of Grade 4 as a basis for answering multiplications exercises on the board.""]","Which among the situations demonstrates an integration of the teacher’s technological, pedagogical, and content knowledge in preparing a Math lesson for Grade 4 students?"
638af20600f07e34fd49d97c,Stop classes till the three-stop misbehaving,"[""Assign them a separate seat"",""Detain three after class"",""Send them to the guidance room""]","In classroom management, this is the immediate and effective way to address three misbehaving students."
638af24000f07e34fd49d97d,repeat,"[""rephrase"",""redirect"",""probe""]","What questioning technique is used by Teacher A when he asked the learners a series of questions that serves to explore, look into, and inquire?"
638af27000f07e34fd49d97e,Accomplish student’s technology projects for them.,"[""Make available technology equipment for use of students and teachers."",""Work with teachers in producing instructional materials."",""Conduct training for teachers on the use of technology tools.""]",Which among the following is NOT a responsibility of the Learning Resource / Audiovisual / Educational Technology Centers of a school?
638af2b500f07e34fd49d97f,rule,"[""routine"",""code"",""norm""]","As a classroom manager, Teacher A required each of his students to stand and give their seatwork individually to him before the bell rings for dismissal. What component of classroom management did he establish?"
638af30c00f07e34fd49d980,group project concepts and application,"[""student group takes drills"",""student group take a field trip"",""teacher tutorial on students’ groups""]","Among the activities below, which activity demonstrates collaborative learning?"
638af35000f07e34fd49d981,balance,"[""interactivity"",""utility"",""attractiveness""]",A bulletin board display has many colors and arrangement that catches and hold interest. What criteria is being exemplified in this situation?
638af38700f07e34fd49d982,Learning is a cooperative and collaborative process,"[""Effective learning begins with the setting of expectations and learning of outcomes"",""Learning is the discovery of personal meaning and relevant ideas"",""Learning is an active process""]","Teacher Rina does not have drills out of context. Instead, she gives real-world Math problems for the learners to drill on. This act of Teacher Ivy is rooted in which principle of learning?"
638af3b800f07e34fd49d983,Portfolio,"[""Assignment submitted before the deadline"",""Analysis of learning episodes"",""Reflections/insight""]","This learning episode includes documentation that is complete, clear, and well-organized."
638af3e300f07e34fd49d984,application,"[""synthesis"",""analysis"",""evaluation""]","Teacher C asks students to break down, critically examine and investigate a concept or problem. This demonstrates what kind of learning?"
638af42100f07e34fd49d985,Begin with the goal/objective in mind,"[""Share lesson objectives/outcomes with students."",""Write SMART lesson objectives"",""Lesson objectives/outcomes integrated with 2 or 3 domains-cognitive, skill, and effective learning.""]","To achieve meaningful teaching and process, it is best to link and relate the lesson to the life of the student by integrating a relevant value in the lesson. Which among the following agrees with this principle?"
638af45100f07e34fd49d986,Learning is a cooperative and collaborative process,"[""Learning is the discovery of the personal meaning of ideas."",""Learning is an active process"",""Effective learning begins with setting clear expectations and learning outcomes""]",Teacher Jenny adheres to the idea that her students do not need to know the learning outcomes of her lessons. She proceeds to give activities without letting them know what they were supposed to learn for the day. What principle of learning does Teacher Jenny violate?
638af48900f07e34fd49d987,"I, II, and III","[""I only"",""I and II"",""I and III""]","Based on DepEd’s present grading system, which assessment is/are used to grade students?
I. Formative assessment
II. Summative assessment
III. Assessment of Learning"
638af4be00f07e34fd49d988,Zero-based grading,"[""Cumulative"",""Averaging"",""Norm-referenced grading""]","When computing for the final grade in a learning area, K to 12 utilizes:"
638af50100f07e34fd49d989,variance,"[""range"",""standard deviation"",""coefficient of variation""]","When comparing the variability of two sets of scores, which is best?"
638af54300f07e34fd49d98a,It is significantly affected by extreme scores,"[""It is a measure of variability"",""It is the most stable measure of central tendency"",""It is 2-second quartile""]",Which of the following is correct about the Median?
638af57600f07e34fd49d98b,showcase portfolio,"[""evaluation portfolio"",""development portfolio"",""assessment portfolio""]","If you are to determine if you realized your intended learning outcomes, which of the following portfolios would you require?"
638af5b600f07e34fd49d98c,very difficult,"[""very easy"",""average/moderately difficult"",""not too easy nor difficult""]","When the distribution is skewed to the right, the test is said to be:"